review_id,task_id,course_code,title,reason,source_surfaces,importance,hrefs
rq-00091,MTH-252-trig-integral-involving-secant-links-to-an-external-site,MTH-252,Trig integral involving secant Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/laBBImqdyqk
rq-00092,MTH-252-trig-integrals-odd-power-of-tangent-links-to-an-external-site,MTH-252,Trig Integrals: ODD power of tangent Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/RJ2rD54H_cA
rq-00093,MTH-252-trig-integrals-power-reducing-example-1-links-to-an-external-site,MTH-252,Trig Integrals: Power reducing example 1 Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/heHZz041JSI
rq-00094,MTH-252-trig-integrals-all-even-exponents-links-to-an-external-site,MTH-252,Trig Integrals: All EVEN exponents Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/rpbr2nH7lNY
rq-00095,MTH-252-intro-trig-substitution-1-links-to-an-external-site,MTH-252,Intro. Trig substitution 1 Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/yS7Mgsvwdkw
rq-00096,MTH-252-intro-trigonometric-substitution-continued-links-to-an-external-site,MTH-252,Intro. Trigonometric Substitution continued Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/cyi-qyG1Yds
rq-00097,MTH-252-intro-trig-substitution-2-links-to-an-external-site,MTH-252,Intro. Trig substitution 2 Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/kSW4sEg_VdQ
rq-00098,MTH-252-trig-substitution-example-3-links-to-an-external-site,MTH-252,Trig substitution example 3 Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/UHRmp07p9IA
rq-00099,MTH-252-trig-substitution-example-4-links-to-an-external-site,MTH-252,Trig substitution example 4 Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/a-f63vZVuBQ
rq-00100,MTH-252-trig-substitution-example-5-links-to-an-external-site,MTH-252,Trig substitution example 5 Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/jZa4FM6l6pM
rq-00101,MTH-252-trig-substitution-with-secant-links-to-an-external-site,MTH-252,Trig substitution with secant Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/snUBWVMPWfQ
rq-00102,MTH-252-trig-substitution-with-definite-integral-links-to-an-external-site,MTH-252,Trig substitution with definite integral Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/TMV5avDezeA
rq-00103,MTH-252-integration-using-long-division-links-to-an-external-site,MTH-252,Integration using long division Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/JIIbmjyrIf8
rq-00104,MTH-252-intro-partial-fraction-decomposition-pfd-links-to-an-external-site,MTH-252,Intro. Partial fraction decomposition (PFD) Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/c2oLHtPA03U
rq-00105,MTH-252-pfd-example-2-links-to-an-external-site,MTH-252,PFD example 2 Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/SQ4l8yDlBVE
rq-00106,MTH-252-pfd-degree-2-3-links-to-an-external-site,MTH-252,PFD degree 2/3 Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/04RSkBwVzK0
rq-00107,MTH-252-intro-integration-with-pfd-links-to-an-external-site,MTH-252,Intro. Integration with PFD Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/AHNSE0ri3i0
rq-00108,MTH-252-integration-with-pfd-links-to-an-external-site,MTH-252,Integration with PFD Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/PjsDXfQ8QwQ
rq-00109,MTH-252-integration-with-long-division-links-to-an-external-site,MTH-252,Integration with long division Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/JIIbmjyrIf8
rq-00110,MTH-252-intro-area-between-curves-links-to-an-external-site,MTH-252,Intro. Area between curves Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/de-0e0nYf5I
rq-00111,MTH-252-area-between-curves-2-links-to-an-external-site,MTH-252,Area between curves 2 Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/E_1aDcOoDtE
rq-00112,MTH-252-area-between-curves-3-links-to-an-external-site,MTH-252,Area between curves 3 Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/n2JqTztMrvQ
rq-00113,MTH-252-area-between-curves-4-links-to-an-external-site,MTH-252,Area between curves 4 Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/BH-V6Gx2n8E
rq-00114,MTH-252-area-between-curves-respect-to-y-links-to-an-external-site,MTH-252,"Area between curves , respect to y Links to an external site.",module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/fGvSy6U209Y
rq-00115,MTH-252-intro-volume-by-slicing-links-to-an-external-site,MTH-252,Intro. volume by slicing Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/Q8c8Gs1OUgk
rq-00116,MTH-252-volume-by-slicing-2-links-to-an-external-site,MTH-252,Volume by slicing 2 Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/BQ5sg21w-lA
rq-00117,MTH-252-disk-method-1-links-to-an-external-site,MTH-252,Disk method 1 Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/1CbZlM09zF8
