task_id,course_id,course_code,title,task_type,importance,required,graded,due,available,source_surfaces,module_titles,hrefs,confidence
PHY-212-reply-to-topic,2053526,PHY-212,Reply To Topic,discussion,required_graded,yes,likely,,,assignments,,,0.75
PHY-212-required-replies-4,2053526,PHY-212,Required Replies (4),discussion,required_graded,yes,likely,,,assignments,,,0.75
PHY-212-m1-1asy,2053526,PHY-212,M1-1asy,quiz,required_graded,yes,yes,Jun 26 at 2:00pm,Aug 14 at 11:59pm,assignments|grades,,https://canvas.oregonstate.edu/courses/2053526/assignments/10556950|https://canvas.oregonstate.edu/courses/2053526/assignments/10556950/submissions/6660414,0.88
PHY-212-m1-2asy,2053526,PHY-212,M1-2asy,quiz,required_graded,yes,yes,Jun 27 at 2:00pm,Aug 14 at 11:59pm,assignments|grades,,https://canvas.oregonstate.edu/courses/2053526/assignments/10556986|https://canvas.oregonstate.edu/courses/2053526/assignments/10556986/submissions/6660414,0.88
PHY-212-lab-1-report,2053526,PHY-212,Lab 1 Report,assignment,required_graded,yes,yes,Jun 27 at 11:59pm,Aug 15 at 11:59pm,assignments|grades,,https://canvas.oregonstate.edu/courses/2053526/assignments/10557057|https://canvas.oregonstate.edu/courses/2053526/assignments/10557057/submissions/6660414,0.88
PHY-212-hw-1-rotational-motion,2053526,PHY-212,Hw 1 - Rotational Motion,quiz,required_graded,yes,yes,Jun 28 at 11:59pm,Aug 30 at 11:59pm,assignments|grades,,https://canvas.oregonstate.edu/courses/2053526/assignments/10556984|https://canvas.oregonstate.edu/courses/2053526/assignments/10556984/submissions/6660414,0.88
PHY-212-m1-3pre,2053526,PHY-212,M1-3pre,quiz,required_graded,yes,yes,Jun 29 at 10:00am,Jun 27 at 10:00am,assignments|grades,,https://canvas.oregonstate.edu/courses/2053526/assignments/10556970|https://canvas.oregonstate.edu/courses/2053526/assignments/10556970/submissions/6660414,0.88
PHY-212-m1-4pre,2053526,PHY-212,M1-4pre,quiz,required_graded,yes,yes,Jun 30 at 10:00am,Jun 27 at 10:00am,assignments|grades,,https://canvas.oregonstate.edu/courses/2053526/assignments/10556995|https://canvas.oregonstate.edu/courses/2053526/assignments/10556995/submissions/6660414,0.88
PHY-212-m1-5pre,2053526,PHY-212,M1-5pre,quiz,required_graded,yes,yes,Jul 1 at 10:00am,Jun 27 at 10:00am,assignments|grades,,https://canvas.oregonstate.edu/courses/2053526/assignments/10556971|https://canvas.oregonstate.edu/courses/2053526/assignments/10556971/submissions/6660414,0.88
PHY-212-m2-1pre,2053526,PHY-212,M2-1pre,assignment,required_graded,yes,yes,Jul 4 at 10:00am,Jun 27 at 10:00am,assignments|grades,,https://canvas.oregonstate.edu/courses/2053526/assignments/10557070|https://canvas.oregonstate.edu/courses/2053526/assignments/10557070/submissions/6660414,0.88
PHY-212-m1-0,2053526,PHY-212,M1-0,assignment,required_graded,yes,yes,Jun 22 at 12:44pm,,assignments|grades,,https://canvas.oregonstate.edu/courses/2053526/assignments/10591118|https://canvas.oregonstate.edu/courses/2053526/assignments/10591118/submissions/6660414,0.88
PHY-212-m1-00,2053526,PHY-212,M1-00,assignment,required_graded,yes,yes,Jun 23 at 12:12pm,,assignments|grades,,https://canvas.oregonstate.edu/courses/2053526/assignments/10592346|https://canvas.oregonstate.edu/courses/2053526/assignments/10592346/submissions/6660414,0.88
PHY-212-m1-1,2053526,PHY-212,M1-1,assignment,required_graded,yes,yes,Jun 24 at 1:02pm,,assignments|grades,,https://canvas.oregonstate.edu/courses/2053526/assignments/10592982|https://canvas.oregonstate.edu/courses/2053526/assignments/10592982/submissions/6660414,0.88
PHY-212-m1-2,2053526,PHY-212,M1-2,assignment,required_graded,yes,yes,Jun 25 at 12:22pm,,assignments|grades,,https://canvas.oregonstate.edu/courses/2053526/assignments/10593560|https://canvas.oregonstate.edu/courses/2053526/assignments/10593560/submissions/6660414,0.88
PHY-212-lab-1-discussion,2053526,PHY-212,Lab 1 Discussion,discussion,required_graded,yes,yes,Jun 25 at 11:59pm,Aug 15 at 11:59pm,assignments|grades,,https://canvas.oregonstate.edu/courses/2053526/assignments/10557036|https://canvas.oregonstate.edu/courses/2053526/assignments/10557036/submissions/6660414,0.88
PHY-212-m1-00asy,2053526,PHY-212,M1-00asy,quiz,required_graded,yes,yes,Jun 25 at 2:00pm,Aug 14 at 11:59pm,assignments|grades,,https://canvas.oregonstate.edu/courses/2053526/assignments/10590695|https://canvas.oregonstate.edu/courses/2053526/assignments/10590695/submissions/6660414,0.88
PHY-212-m1-2pre,2053526,PHY-212,M1-2pre,quiz,required_graded,yes,yes,Jun 25 at 10:00am,Aug 14 at 11:59pm,assignments|grades,,https://canvas.oregonstate.edu/courses/2053526/assignments/10556960|https://canvas.oregonstate.edu/courses/2053526/assignments/10556960/submissions/6660414,0.88
PHY-212-m1-0asy,2053526,PHY-212,M1-0asy,quiz,required_graded,yes,yes,Jun 24 at 2:00pm,Aug 14 at 11:59pm,assignments|grades,,https://canvas.oregonstate.edu/courses/2053526/assignments/10590694|https://canvas.oregonstate.edu/courses/2053526/assignments/10590694/submissions/6660414,0.88
PHY-212-m1-1pre,2053526,PHY-212,M1-1pre,quiz,required_graded,yes,yes,Jun 24 at 10:00am,Aug 14 at 11:59pm,assignments|grades,,https://canvas.oregonstate.edu/courses/2053526/assignments/10557008|https://canvas.oregonstate.edu/courses/2053526/assignments/10557008/submissions/6660414,0.88
