download_id,object_id,course_id,course_code,source_page_id,source_page_title,source_page_url,text,file_name,canvas_file_id,href,download_attr,read_status,evidence_status,repo_file_path,parsed_markdown_path
dl-mth-253-0180,obj-mth-253-download-118558950,2053263,MTH-253,00481-mth-253-linked-detail-recursive-sequences-pdf-sequences-and-series-mth-253z-400-u2026,Recursive Sequences.pdf: SEQUENCES AND SERIES (MTH_253Z_400_U2026),https://canvas.oregonstate.edu/courses/2053263/files/118558950?wrap=1,Download Recursive Sequences.pdf,Recursive Sequences.pdf,118558950,https://canvas.oregonstate.edu/courses/2053263/files/118558950/download?download_frd=1,true,indexed_not_read,link_only,,
dl-mth-253-0181,obj-mth-253-download-118558844,2053263,MTH-253,00482-mth-253-linked-detail-convergence-or-divergence-of-a-sequence-pdf-sequences-and-series-mth-253z-400-u2026,Convergence or Divergence of a Sequence.pdf: SEQUENCES AND SERIES (MTH_253Z_400_U2026),https://canvas.oregonstate.edu/courses/2053263/files/118558844?wrap=1,Download Convergence or Divergence of a Sequence.pdf,Convergence or Divergence of a Sequence.pdf,118558844,https://canvas.oregonstate.edu/courses/2053263/files/118558844/download?download_frd=1,true,indexed_not_read,link_only,,
dl-mth-253-0182,obj-mth-253-download-118558915,2053263,MTH-253,00483-mth-253-linked-detail-geometric-sequences-pdf-sequences-and-series-mth-253z-400-u2026,Geometric Sequences.pdf: SEQUENCES AND SERIES (MTH_253Z_400_U2026),https://canvas.oregonstate.edu/courses/2053263/files/118558915?wrap=1,Download Geometric Sequences.pdf,Geometric Sequences.pdf,118558915,https://canvas.oregonstate.edu/courses/2053263/files/118558915/download?download_frd=1,true,indexed_not_read,link_only,,
dl-mth-253-0183,obj-mth-253-download-118558827,2053263,MTH-253,00484-mth-253-linked-detail-introduction-to-series-pdf-sequences-and-series-mth-253z-400-u2026,Introduction to Series.pdf: SEQUENCES AND SERIES (MTH_253Z_400_U2026),https://canvas.oregonstate.edu/courses/2053263/files/118558827?wrap=1,Download Introduction to Series.pdf,Introduction to Series.pdf,118558827,https://canvas.oregonstate.edu/courses/2053263/files/118558827/download?download_frd=1,true,indexed_not_read,link_only,,
dl-mth-253-0184,obj-mth-253-download-118558808,2053263,MTH-253,00485-mth-253-linked-detail-partial-sums-pdf-sequences-and-series-mth-253z-400-u2026,Partial Sums.pdf: SEQUENCES AND SERIES (MTH_253Z_400_U2026),https://canvas.oregonstate.edu/courses/2053263/files/118558808?wrap=1,Download Partial Sums.pdf,Partial Sums.pdf,118558808,https://canvas.oregonstate.edu/courses/2053263/files/118558808/download?download_frd=1,true,indexed_not_read,link_only,,
dl-mth-253-0185,obj-mth-253-download-118558770,2053263,MTH-253,00486-mth-253-linked-detail-geometric-series-pdf-sequences-and-series-mth-253z-400-u2026,Geometric Series.pdf: SEQUENCES AND SERIES (MTH_253Z_400_U2026),https://canvas.oregonstate.edu/courses/2053263/files/118558770?wrap=1,Download Geometric Series.pdf,Geometric Series.pdf,118558770,https://canvas.oregonstate.edu/courses/2053263/files/118558770/download?download_frd=1,true,indexed_not_read,link_only,,
dl-mth-253-0186,obj-mth-253-download-118558809,2053263,MTH-253,00487-mth-253-linked-detail-repeating-decimals-and-geometric-series-pdf-sequences-and-series-mth-253z-400-u2026,Repeating Decimals and Geometric Series.pdf: SEQUENCES AND SERIES (MTH_253Z_400_U2026),https://canvas.oregonstate.edu/courses/2053263/files/118558809?wrap=1,Download Repeating Decimals and Geometric Series.pdf,Repeating Decimals and Geometric Series.pdf,118558809,https://canvas.oregonstate.edu/courses/2053263/files/118558809/download?download_frd=1,true,indexed_not_read,link_only,,
dl-mth-253-0187,obj-mth-253-download-118558919,2053263,MTH-253,00488-mth-253-linked-detail-telescoping-series-pdf-sequences-and-series-mth-253z-400-u2026,Telescoping Series.pdf: SEQUENCES AND SERIES (MTH_253Z_400_U2026),https://canvas.oregonstate.edu/courses/2053263/files/118558919?wrap=1,Download Telescoping Series.pdf,Telescoping Series.pdf,118558919,https://canvas.oregonstate.edu/courses/2053263/files/118558919/download?download_frd=1,true,indexed_not_read,link_only,,
dl-mth-253-0188,obj-mth-253-download-118558872,2053263,MTH-253,00490-mth-253-linked-detail-unit-2-written-homework-pdf-sequences-and-series-mth-253z-400-u2026,Unit #2 - Written Homework.pdf: SEQUENCES AND SERIES (MTH_253Z_400_U2026),https://canvas.oregonstate.edu/courses/2053263/files/118558872?wrap=1,Download Unit #2 - Written Homework.pdf,Unit #2 - Written Homework.pdf,118558872,https://canvas.oregonstate.edu/courses/2053263/files/118558872/download?download_frd=1,true,indexed_not_read,link_only,,
dl-mth-253-0189,obj-mth-253-download-118558872,2053263,MTH-253,00491-mth-253-linked-detail-unit-2-written-homework-assignment,Unit 2 - Written Homework Assignment,https://canvas.oregonstate.edu/courses/2053263/assignments/10553180?module_item_id=26885550#,Download,Download,118558872,https://canvas.oregonstate.edu/courses/2053263/files/118558872/download?download_frd=1,,indexed_not_read,link_only,,
dl-mth-253-0190,obj-mth-253-download-118558959,2053263,MTH-253,00493-mth-253-linked-detail-divergence-test-pdf-sequences-and-series-mth-253z-400-u2026,Divergence Test.pdf: SEQUENCES AND SERIES (MTH_253Z_400_U2026),https://canvas.oregonstate.edu/courses/2053263/files/118558959?wrap=1,Download Divergence Test.pdf,Divergence Test.pdf,118558959,https://canvas.oregonstate.edu/courses/2053263/files/118558959/download?download_frd=1,true,indexed_not_read,link_only,,
dl-mth-253-0191,obj-mth-253-download-118558964,2053263,MTH-253,00494-mth-253-linked-detail-p-series-and-the-integral-test-pdf-sequences-and-series-mth-253z-400-u2026,p-Series and The Integral Test.pdf: SEQUENCES AND SERIES (MTH_253Z_400_U2026),https://canvas.oregonstate.edu/courses/2053263/files/118558964?wrap=1,Download p-Series and The Integral Test.pdf,p-Series and The Integral Test.pdf,118558964,https://canvas.oregonstate.edu/courses/2053263/files/118558964/download?download_frd=1,true,indexed_not_read,link_only,,
