review_id,priority,review_reason,course_id,course_code,task_id,object_id,page_id,title,source_url,suggested_action
review-00036,high,blocked_or_broken,2053526,PHY-212,task-00366-phy-212-blocked-or-broken-unauthorized,obj-phy-212-assignment-10557109,00640-phy-212-linked-detail-unauthorized,Unauthorized,https://canvas.oregonstate.edu/courses/2053526/assignments/10557109,Retry or manually review blocked/broken capture.
review-00037,high,blocked_or_broken,2053526,PHY-212,task-00367-phy-212-blocked-or-broken-unauthorized,obj-phy-212-assignment-10557110,00641-phy-212-linked-detail-unauthorized,Unauthorized,https://canvas.oregonstate.edu/courses/2053526/assignments/10557110,Retry or manually review blocked/broken capture.
review-00038,high,blocked_or_broken,2053526,PHY-212,task-00368-phy-212-blocked-or-broken-unauthorized,obj-phy-212-assignment-10557112,00642-phy-212-linked-detail-unauthorized,Unauthorized,https://canvas.oregonstate.edu/courses/2053526/assignments/10557112,Retry or manually review blocked/broken capture.
review-00039,medium,download_not_read,2053526,PHY-212,,obj-phy-212-download-118706028,,Download,https://canvas.oregonstate.edu/courses/2053526/files/118706028/download?download_frd=1,Download and parse file before treating contents as read.
review-00040,medium,download_not_read,2053526,PHY-212,,obj-phy-212-download-118706035,,Download,https://canvas.oregonstate.edu/courses/2053526/files/118706035/download?download_frd=1,Download and parse file before treating contents as read.
review-00041,medium,download_not_read,2053526,PHY-212,,obj-phy-212-download-118706027,,Download,https://canvas.oregonstate.edu/courses/2053526/files/118706027/download?download_frd=1,Download and parse file before treating contents as read.
review-00042,medium,download_not_read,2053526,PHY-212,,obj-phy-212-download-119307451,,Lab Structure and TA Meetings.pdf,https://canvas.oregonstate.edu/courses/2053526/files/119307451/download?download_frd=1,Download and parse file before treating contents as read.
review-00043,medium,download_not_read,2053526,PHY-212,,obj-phy-212-download-118706032,,PH211_DATA_time-distance.txt,https://canvas.oregonstate.edu/courses/2053526/files/118706032/download?download_frd=1,Download and parse file before treating contents as read.
review-00044,medium,download_not_read,2053526,PHY-212,,obj-phy-212-download-118706030,,PH211_Excel-Skills-Ref.xlsx,https://canvas.oregonstate.edu/courses/2053526/files/118706030/download?download_frd=1,Download and parse file before treating contents as read.
review-00045,high,blocked_or_broken,2053526,PHY-212,task-00409-phy-212-blocked-or-broken-hw-1-rotational-motion-general-physics-with-calculus-ph-212-400-u2026,obj-phy-212-quiz-3160489,00391-phy-212-assignment-detail-hw-1-rotational-motion-general-physics-with-calculus-ph-212-400-u2026,Hw 1 - Rotational Motion: GENERAL PHYSICS WITH CALCULUS (PH_212_400_U2026),https://canvas.oregonstate.edu/courses/2053526/quizzes/3160489,Retry or manually review blocked/broken capture.
