object_id,page_id,course_id,course_code,object_type,canvas_object_id,title,requested_url,resolved_url,redirected,source_kind,source_surface,markdown_path,metadata_path
obj-mth-252-assignment-10586047,00155-mth-252-module-item-mini-exam-2-retake,2080857,MTH-252,assignment,10586047,Mini-Exam 2 - Retake,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982654,https://canvas.oregonstate.edu/courses/2080857/assignments/10586047?module_item_id=26982654,yes,module_item,module_item,markdown/00155-mth-252-module-item-mini-exam-2-retake.md,metadata/00155-mth-252-module-item-mini-exam-2-retake.json
obj-mth-252-assignment-10586047,00446-mth-252-linked-detail-mini-exam-2-retake,2080857,MTH-252,assignment,10586047,Mini-Exam 2 - Retake,https://canvas.oregonstate.edu/courses/2080857/assignments/10586047?module_item_id=26982654#,https://canvas.oregonstate.edu/courses/2080857/assignments/10586047?module_item_id=26982654#,,linked_detail,linked_detail,markdown/00446-mth-252-linked-detail-mini-exam-2-retake.md,metadata/00446-mth-252-linked-detail-mini-exam-2-retake.json
obj-mth-252-assignment-10586048,00089-mth-252-module-item-mini-exam-2-no-calculators-on-this-exam,2080857,MTH-252,assignment,10586048,Mini-Exam 2 --> No Calculators on this Exam,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982585,https://canvas.oregonstate.edu/courses/2080857/assignments/10586048?module_item_id=26982585,yes,module_item,module_item,markdown/00089-mth-252-module-item-mini-exam-2-no-calculators-on-this-exam.md,metadata/00089-mth-252-module-item-mini-exam-2-no-calculators-on-this-exam.json
obj-mth-252-assignment-10586048,00395-mth-252-linked-detail-mini-exam-2-no-calculators-on-this-exam,2080857,MTH-252,assignment,10586048,Mini-Exam 2 --> No Calculators on this Exam,https://canvas.oregonstate.edu/courses/2080857/assignments/10586048?module_item_id=26982585#,https://canvas.oregonstate.edu/courses/2080857/assignments/10586048?module_item_id=26982585#,,linked_detail,linked_detail,markdown/00395-mth-252-linked-detail-mini-exam-2-no-calculators-on-this-exam.md,metadata/00395-mth-252-linked-detail-mini-exam-2-no-calculators-on-this-exam.json
obj-mth-252-assignment-10586049,00156-mth-252-module-item-mini-exam-3-retake,2080857,MTH-252,assignment,10586049,Mini-Exam 3 - Retake,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982655,https://canvas.oregonstate.edu/courses/2080857/assignments/10586049?module_item_id=26982655,yes,module_item,module_item,markdown/00156-mth-252-module-item-mini-exam-3-retake.md,metadata/00156-mth-252-module-item-mini-exam-3-retake.json
obj-mth-252-assignment-10586049,00448-mth-252-linked-detail-mini-exam-3-retake,2080857,MTH-252,assignment,10586049,Mini-Exam 3 - Retake,https://canvas.oregonstate.edu/courses/2080857/assignments/10586049?module_item_id=26982655#,https://canvas.oregonstate.edu/courses/2080857/assignments/10586049?module_item_id=26982655#,,linked_detail,linked_detail,markdown/00448-mth-252-linked-detail-mini-exam-3-retake.md,metadata/00448-mth-252-linked-detail-mini-exam-3-retake.json
obj-mth-252-assignment-10586050,00111-mth-252-module-item-mini-exam-3-tuesday-to-thursday,2080857,MTH-252,assignment,10586050,Mini-Exam 3 --> Tuesday to Thursday,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982607,https://canvas.oregonstate.edu/courses/2080857/assignments/10586050?module_item_id=26982607,yes,module_item,module_item,markdown/00111-mth-252-module-item-mini-exam-3-tuesday-to-thursday.md,metadata/00111-mth-252-module-item-mini-exam-3-tuesday-to-thursday.json
obj-mth-252-assignment-10586050,00413-mth-252-linked-detail-mini-exam-3-tuesday-to-thursday,2080857,MTH-252,assignment,10586050,Mini-Exam 3 --> Tuesday to Thursday,https://canvas.oregonstate.edu/courses/2080857/assignments/10586050?module_item_id=26982607#,https://canvas.oregonstate.edu/courses/2080857/assignments/10586050?module_item_id=26982607#,,linked_detail,linked_detail,markdown/00413-mth-252-linked-detail-mini-exam-3-tuesday-to-thursday.md,metadata/00413-mth-252-linked-detail-mini-exam-3-tuesday-to-thursday.json
obj-mth-252-assignment-10586051,00157-mth-252-module-item-mini-exam-4-retake,2080857,MTH-252,assignment,10586051,Mini-Exam 4 - Retake,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982656,https://canvas.oregonstate.edu/courses/2080857/assignments/10586051?module_item_id=26982656,yes,module_item,module_item,markdown/00157-mth-252-module-item-mini-exam-4-retake.md,metadata/00157-mth-252-module-item-mini-exam-4-retake.json
obj-mth-252-assignment-10586051,00450-mth-252-linked-detail-mini-exam-4-retake,2080857,MTH-252,assignment,10586051,Mini-Exam 4 - Retake,https://canvas.oregonstate.edu/courses/2080857/assignments/10586051?module_item_id=26982656#,https://canvas.oregonstate.edu/courses/2080857/assignments/10586051?module_item_id=26982656#,,linked_detail,linked_detail,markdown/00450-mth-252-linked-detail-mini-exam-4-retake.md,metadata/00450-mth-252-linked-detail-mini-exam-4-retake.json
obj-mth-252-assignment-10586052,00134-mth-252-module-item-mini-exam-4-tuesday-to-thursday,2080857,MTH-252,assignment,10586052,Mini-Exam 4 --> Tuesday to Thursday,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982630,https://canvas.oregonstate.edu/courses/2080857/assignments/10586052?module_item_id=26982630,yes,module_item,module_item,markdown/00134-mth-252-module-item-mini-exam-4-tuesday-to-thursday.md,metadata/00134-mth-252-module-item-mini-exam-4-tuesday-to-thursday.json
