course,topic-id,topic-number,topic-name
MF3,4059,11.3.3,Related Rates With Implicit Functions
MF3,287,11.3.4,Calculating Related Rates With Circles and Spheres
MF3,345,11.3.5,Calculating Related Rates Using the Pythagorean Theorem
MF3,1211,11.3.6,Solving Optimization Problems Using Derivatives
MF3,1216,11.3.7,Optimizing Distances
MF3,4218,11.3.8,Optimizing Distances to Curves
MF3,3215,12.1.1,Introduction to Differential Equations
MF3,1181,12.1.2,Verifying Solutions of Differential Equations
MF3,1061,12.1.3,Solving First-Order ODEs Using Direct Integration
MF3,466,12.1.4,Solving First-Order ODEs Using Separation of Variables
MF3,1179,12.1.5,Solving First-Order IVPs Using Separation of Variables
MF3,2976,12.1.6,Qualitative Analysis of First-Order ODEs
MF3,2023,12.1.7,Modeling With First-Order ODEs
MF3,602,12.2.1,Euler's Method: Calculating One Step
MF3,3668,12.2.2,Euler's Method: Calculating Multiple Steps
MF3,1166,13.1.1,Three-Dimensional Vectors in Component Form
MF3,175,13.1.2,Addition and Scalar Multiplication of Cartesian Vectors in 3D
MF3,1277,13.1.3,Calculating the Magnitude of Cartesian Vectors in 3D
MF3,243,13.2.1,Calculating the Dot Product Using Angle and Magnitude
MF3,177,13.2.2,Calculating the Dot Product Using Components
MF3,1278,13.2.3,The Angle Between Two Vectors
MF3,1285,13.2.4,Calculating a Scalar Projection
MF3,1295,13.2.5,Calculating a Vector Projection
MF3,246,13.3.1,The Cross Product of Two Vectors
MF3,4858,13.3.2,Properties of the Cross Product
MF3,245,13.3.3,Calculating the Cross Product Using Determinants
MF3,1299,13.3.4,Finding Areas Using the Cross Product
MF3,1286,13.3.5,The Scalar Triple Product
MF3,1287,13.3.6,Volumes of Parallelepipeds
MF3,475,13.4.1,Defining Vector-Valued Functions
MF3,4139,13.4.2,Differentiating Vector-Valued Functions
MF3,1085,13.4.3,Integrating Vector-Valued Functions
MF3,861,14.1.1,Introduction to Matrices
MF3,1167,14.1.2,Index Notation for Matrices
MF3,29,14.1.3,Adding and Subtracting Matrices
MF3,1168,14.1.4,Properties of Matrix Addition
MF3,146,14.1.5,Scalar Multiplication of Matrices
MF3,862,14.1.6,"Zero, Square, Diagonal and Identity Matrices"
MF3,232,14.1.7,The Transpose of a Matrix
MF3,1195,14.2.1,Multiplying a Matrix by a Column Vector
MF3,147,14.2.2,Multiplying Square Matrices
MF3,1198,14.2.3,Conformability for Matrix Multiplication
MF3,1196,14.2.4,Multiplying Matrices
MF3,1725,14.2.5,Powers of Matrices
MF3,1171,14.2.6,Multiplying a Matrix by the Identity Matrix
MF3,1724,14.2.7,Properties of Matrix Multiplication
MF3,1729,14.2.8,Representing 2x2 Systems of Equations Using a Matrix Product
MF3,155,14.2.9,Representing 3x3 Systems of Equations Using a Matrix Product
MF3,152,14.3.1,The Determinant of a 2x2 Matrix
MF3,1169,14.3.2,The Geometric Interpretation of the 2x2 Determinant
MF3,233,14.3.3,The Minors of a 3x3 Matrix
MF3,153,14.3.4,The Determinant of a 3x3 Matrix
MF3,863,14.4.1,Introduction to the Inverse of a Matrix
MF3,864,14.4.2,Inverses of 2x2 Matrices
MF3,154,14.4.3,Calculating the Inverse of a 3x3 Matrix Using the Cofactor Method
MF3,934,14.4.4,Solving 2x2 Systems of Equations Using Inverse Matrices
MF3,1023,14.4.5,Solving Systems of Equations Using Inverse Matrices
MF3,865,14.5.1,Introduction to Linear Transformations
MF3,1959,14.5.2,The Standard Matrix of a Linear Transformation
MF3,2706,14.5.3,Linear Transformations of Points and Lines in the Plane
MF3,866,14.5.4,Linear Transformations of Objects in the Plane
MF3,867,14.5.5,Dilations and Reflections as Linear Transformations
MF3,1358,14.5.6,Shear and Stretch as Linear Transformations
MF3,931,14.5.7,Right-Angle Rotations as Linear Transformations
MF3,932,14.5.8,Rotations as Linear Transformations
MF3,933,14.5.9,Combining Linear Transformations Using 2x2 Matrices
MF3,988,14.5.10,Inverting Linear Transformations
MF3,989,14.5.11,Area Scale Factors of Linear Transformations
MF3,1351,14.5.12,Singular Linear Transformations in the Plane
MF3,324,15.1.1,Conditional Probabilities From Venn Diagrams
MF3,715,15.1.2,The Multiplication Law for Conditional Probability
MF3,773,15.1.3,The Law of Total Probability
MF3,183,15.1.4,Independent Events
MF3,740,15.1.5,The Addition Law of Probability
MF3,4315,15.1.6,Applying the Addition Law With Event Complements
MF3,1154,15.1.7,Mutually Exclusive Events
MF3,1290,15.2.1,Probability Mass Functions of Discrete Random Variables
MF3,2024,15.2.2,Cumulative Distribution Functions for Discrete Random Variables
MF3,730,15.2.3,Expected Values of Discrete Random Variables
MF3,3281,15.2.4,The Binomial Distribution
MF3,1395,15.2.5,Modeling With the Binomial Distribution
MF3,3284,15.2.6,The Geometric Distribution
MF3,2839,15.2.7,Modeling With the Geometric Distribution
MF3,265,15.3.1,The Standard Normal Distribution
MF3,4420,15.3.2,Symmetry Properties of the Standard Normal Distribution
MF3,1843,15.3.3,The Normal Distribution
MF3,1470,15.3.4,Mean and Variance of the Normal Distribution
MF3,3214,15.3.5,Percentage Points of the Standard Normal Distribution
MF3,788,15.3.6,Modeling With the Normal Distribution
