course,topic,requires
MF2,1634,2478
MF1,1639,137
MF1,1639,487
MF1,1639,1437
MF2,1643,375
MF2,1643,393
MF2,1643,425
MF2,1643,1475
MF1,1644,521
MF1,1644,1601
MF3,1647,895
MF3,1647,905
MF2,1653,725
MF2,1653,1150
MF2,1653,1584
MF2,1653,2048
MF2,1654,661
MF2,1654,1653
MF2,1654,2119
MF2,1656,88
MF2,1656,1654
MF2,1659,1491
MF2,1659,1493
MF2,1659,1584
MF2,1661,1252
MF2,1661,1491
MF2,1661,1493
MF2,1661,4034
MF2,1676,423
MF2,1676,4951
MF2,1682,456
MF3,1685,342
MF3,1685,3575
MF2,1686,1110
MF3,1691,812
MF3,1691,2006
MF2,1707,1254
MF2,1707,1532
MF2,1716,625
MF2,1717,1246
MF2,1717,1873
MF2,1717,6351
MF2,1719,37
MF2,1719,275
MF2,1719,654
MF2,1719,1814
MF2,1719,1873
MF3,1721,303
MF3,1724,1171
MF3,1724,1196
MF3,1725,1724
MF3,1729,1195
MF1,1745,430
MF1,1745,1352
MF1,1745,1404
MF2,1753,40
MF2,1753,1467
MF2,1753,1927
MF2,1753,2484
MF2,1753,3872
MF2,1762,460
MF2,1762,1745
MF2,1762,2469
MF2,1765,681
MF2,1765,1146
MF2,1765,1457
MF1,1783,134
MF1,1783,657
MF3,1784,986
MF3,1784,2978
MF3,1784,3739
MF3,1785,305
MF3,1785,627
MF3,1785,1007
MF3,1785,1036
MF3,1785,1784
MF2,1813,428
MF2,1813,441
MF2,1813,1246
MF2,1813,1676
MF2,1813,2336
MF2,1814,625
MF2,1814,2046
MF3,1815,455
MF3,1815,1676
MF3,1815,3739
MF2,1818,679
MF2,1818,1226
MF1,1819,2195
MF1,1819,3552
MF1,1822,178
MF1,1822,2174
MF2,1826,1322
MF2,1826,2849
MF3,1843,711
MF3,1843,4420
MF2,1844,3568
MF2,1844,3766
MF2,1844,3829
MF2,1848,610
MF2,1848,764
MF2,1848,765
MF2,1873,461
MF2,1873,2048
MF2,1875,1540
MF2,1875,3728
MF2,1875,4034
MF2,1882,704
MF2,1882,754
MF2,1882,814
MF2,1882,1451
MF1,1884,3559
MF1,1884,3728
MF1,1884,4034
